student_name,course_year,student_note,academic_score,anatomy_score,physiology_score,surgery_interest,cardiology_interest,neurology_interest,ent_interest,manual_dexterity,stress_tolerance,empathy,analytical_thinking,communication_skill,research_orientation,night_shift_readiness,cardiovascular_endurance,auditory_attention,precision_focus,predicted_specialty_key,predicted_specialty,confidence
Мария Тихонова #054,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,84,75,3,6,5,9,10,6,8,5,8,2,4,7,8,6,otolaryngology,Отоларинголог,0.5289
Ирина Белова #055,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,84,85,3,3,5,8,7,5,8,6,9,7,6,4,8,6,otolaryngology,Отоларинголог,0.4592
Алина Назарова #056,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,77,95,2,9,8,4,4,6,9,10,9,7,9,6,6,9,neurology,Невролог,0.4108
Мария Тихонова #057,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,80,86,80,4,2,6,9,9,4,9,9,9,2,4,5,9,10,otolaryngology,Отоларинголог,0.5691
Павел Громов #058,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,98,88,9,7,3,3,9,9,6,7,6,5,8,6,4,10,surgery,Хирург,0.5413
Виктор Лебедев #059,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,73,85,1,6,10,2,4,9,6,9,8,7,4,3,7,9,neurology,Невролог,0.5658
Софья Романова #060,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,79,92,5,7,5,3,8,8,7,8,7,6,8,10,7,10,cardiology,Кардиолог,0.3107
Михаил Соколов #061,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,92,79,8,5,6,4,9,9,3,5,8,3,9,10,5,9,surgery,Хирург,0.6245
Георгий Савельев #062,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,90,78,9,2,2,2,10,7,6,8,6,4,9,8,6,7,surgery,Хирург,0.6087
Виктор Лебедев #063,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,82,88,1,4,7,4,3,5,7,10,5,10,4,5,6,10,neurology,Невролог,0.5851
Елена Смирнова #064,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,82,99,2,8,10,3,4,8,6,9,5,10,3,6,8,7,neurology,Невролог,0.52
Никита Жуков #065,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,75,98,4,7,9,1,6,5,6,9,9,8,7,3,7,8,neurology,Невролог,0.5068
Дмитрий Орлов #066,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,86,98,5,10,5,1,5,7,8,9,9,9,6,6,4,9,cardiology,Кардиолог,0.4618
Елена Смирнова #067,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,81,95,3,6,7,1,6,9,6,10,8,7,3,4,6,10,neurology,Невролог,0.4706
Мария Тихонова #068,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,91,83,2,4,7,8,9,5,7,8,10,4,3,7,10,6,otolaryngology,Отоларинголог,0.4998
Павел Громов #069,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,91,81,8,6,4,4,9,7,3,7,3,6,8,8,4,10,surgery,Хирург,0.5811
Кирилл Федоров #070,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,92,88,6,3,7,7,7,9,8,7,9,6,4,7,9,8,otolaryngology,Отоларинголог,0.3735
Ирина Белова #071,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,84,79,3,3,3,8,10,9,10,9,8,5,8,4,8,9,otolaryngology,Отоларинголог,0.4737
Георгий Савельев #072,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,88,82,10,3,5,4,10,9,4,8,4,3,10,8,4,10,surgery,Хирург,0.6976
Павел Громов #073,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,89,89,10,4,4,0,8,10,7,5,7,2,7,6,3,10,surgery,Хирург,0.6116
Кирилл Федоров #074,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,87,77,6,2,6,8,8,6,8,5,7,3,4,6,8,8,otolaryngology,Отоларинголог,0.4809
Кирилл Федоров #075,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,94,88,6,5,7,9,6,5,7,6,9,6,8,8,8,6,otolaryngology,Отоларинголог,0.3672
Анна Котова #076,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,99,87,7,6,2,1,9,8,8,5,8,7,10,7,5,10,surgery,Хирург,0.5112
Елена Смирнова #077,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,98,79,89,5,8,7,5,8,5,9,8,5,9,5,6,4,7,neurology,Невролог,0.3689
Георгий Савельев #078,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,88,81,7,4,3,3,9,9,4,4,6,1,10,8,2,8,surgery,Хирург,0.6821
Татьяна Максимова #079,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,76,99,3,10,8,0,6,8,7,9,9,9,7,8,5,7,cardiology,Кардиолог,0.4765
Георгий Савельев #080,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,89,82,10,3,6,2,9,10,3,6,5,3,7,10,5,8,surgery,Хирург,0.6827
Ольга Демина #081,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,82,82,2,1,5,9,10,5,7,5,10,5,3,3,9,7,otolaryngology,Отоларинголог,0.6454
Анна Котова #082,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,94,80,10,3,6,2,7,9,7,7,6,4,9,6,4,10,surgery,Хирург,0.5644
Ольга Демина #083,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,87,76,5,2,2,9,7,7,8,7,8,4,5,2,9,10,otolaryngology,Отоларинголог,0.5865
Георгий Савельев #084,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,91,77,7,3,3,3,9,10,7,8,5,4,10,8,6,7,surgery,Хирург,0.5489
Павел Громов #085,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,95,78,7,5,2,3,7,8,5,6,7,6,9,7,5,10,surgery,Хирург,0.5179
Елена Смирнова #086,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,85,91,3,8,8,1,6,6,10,8,6,8,7,8,4,9,neurology,Невролог,0.4104
Татьяна Максимова #087,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,77,98,6,9,7,4,7,10,7,7,7,8,6,8,4,9,cardiology,Кардиолог,0.3667
Елена Смирнова #088,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,81,95,2,6,8,2,6,7,8,8,6,10,7,8,4,9,neurology,Невролог,0.4744
Мария Тихонова #089,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,80,74,3,5,7,10,6,5,9,9,10,3,4,6,9,9,otolaryngology,Отоларинголог,0.4932
Дмитрий Орлов #090,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,85,92,4,8,6,0,5,8,9,10,9,7,9,6,3,9,cardiology,Кардиолог,0.4044
Софья Романова #091,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,76,87,6,8,7,5,6,6,10,9,10,9,7,10,7,6,cardiology,Кардиолог,0.4314
Георгий Савельев #092,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,93,88,8,3,6,4,8,9,3,4,3,2,9,10,6,10,surgery,Хирург,0.6802
Елена Смирнова #093,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,83,93,5,8,7,4,8,7,9,9,7,10,3,7,8,8,neurology,Невролог,0.3683
Ольга Демина #094,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,80,80,6,4,3,8,6,8,7,5,10,5,5,5,9,9,otolaryngology,Отоларинголог,0.4919
Ольга Демина #095,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,81,80,4,4,6,8,10,5,10,8,9,6,5,4,8,9,otolaryngology,Отоларинголог,0.4693
Михаил Соколов #096,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,99,83,8,7,4,4,9,7,5,7,4,6,9,10,5,9,surgery,Хирург,0.5601
Ольга Демина #097,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,85,82,4,4,3,7,7,6,10,6,8,2,7,6,10,7,otolaryngology,Отоларинголог,0.5141
Анна Котова #098,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,94,86,7,3,3,1,8,7,7,8,7,4,8,8,5,7,surgery,Хирург,0.4573
Никита Жуков #099,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,79,98,3,5,10,1,3,7,9,10,5,8,5,6,8,10,neurology,Невролог,0.6085
Михаил Соколов #100,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,92,81,7,6,3,1,10,7,7,6,5,6,8,10,6,9,surgery,Хирург,0.5301
Елена Смирнова #101,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,77,88,3,7,7,4,6,7,8,9,9,10,5,6,5,8,neurology,Невролог,0.431
Никита Жуков #102,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,83,90,2,8,8,2,4,8,6,10,9,8,6,7,7,7,neurology,Невролог,0.4043
Павел Громов #103,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,97,82,7,7,2,0,8,10,4,9,7,3,7,8,6,10,surgery,Хирург,0.5091
Кирилл Федоров #104,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,81,89,79,7,5,6,7,8,9,8,7,10,5,6,4,8,10,otolaryngology,Отоларинголог,0.3874
Ольга Демина #105,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,78,73,5,1,4,8,6,5,10,6,9,5,6,5,10,10,otolaryngology,Отоларинголог,0.5517
Елена Смирнова #106,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,98,76,99,2,4,9,3,7,9,9,10,8,8,4,7,6,7,neurology,Невролог,0.4993
Анна Котова #107,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,92,78,7,3,6,1,8,9,4,6,4,6,8,7,7,8,surgery,Хирург,0.5365
Татьяна Максимова #108,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,79,96,3,9,7,3,6,8,7,10,9,7,7,9,6,6,cardiology,Кардиолог,0.4898
Никита Жуков #109,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,79,88,4,7,10,2,5,6,8,9,9,8,6,7,8,8,neurology,Невролог,0.475
Софья Романова #110,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,81,94,6,8,5,3,7,10,10,7,9,6,9,10,4,9,cardiology,Кардиолог,0.3986
Ирина Белова #111,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,92,88,5,3,7,9,9,6,10,7,10,6,7,7,9,8,otolaryngology,Отоларинголог,0.4807
Дмитрий Орлов #112,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,81,94,5,8,4,4,6,7,6,10,8,9,9,9,5,7,cardiology,Кардиолог,0.4335
Алина Назарова #113,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,83,86,4,7,8,3,7,7,8,7,7,10,8,7,7,6,neurology,Невролог,0.3666
Никита Жуков #114,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,74,97,1,4,10,5,6,7,5,8,9,7,6,3,4,9,neurology,Невролог,0.5491
Павел Громов #115,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,94,88,7,4,2,0,9,10,4,6,7,6,10,8,4,10,surgery,Хирург,0.6385
Алина Назарова #116,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,79,87,2,9,5,3,7,9,10,8,7,6,6,6,6,9,cardiology,Кардиолог,0.4071
Ирина Белова #117,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,81,77,4,6,7,8,10,7,6,6,10,4,7,3,10,7,otolaryngology,Отоларинголог,0.5102
Софья Романова #118,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,88,92,2,7,7,1,4,9,8,10,10,9,9,10,6,8,cardiology,Кардиолог,0.4312
Ирина Белова #119,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,87,82,3,6,6,9,6,7,7,5,7,5,5,6,9,9,otolaryngology,Отоларинголог,0.4758
Анна Котова #120,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,94,87,9,3,3,1,7,9,7,9,8,7,10,6,3,7,surgery,Хирург,0.4768
Анна Котова #121,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,95,87,7,7,3,5,8,10,7,6,5,5,9,8,6,8,surgery,Хирург,0.4604
Никита Жуков #122,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,85,87,2,6,10,4,7,9,6,9,5,9,5,3,7,9,neurology,Невролог,0.5402
Никита Жуков #123,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,78,95,1,7,9,2,6,7,7,10,9,7,5,6,6,8,neurology,Невролог,0.4716
Алина Назарова #124,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,75,98,5,7,8,2,4,9,9,10,10,7,7,7,6,9,neurology,Невролог,0.4196
Павел Громов #125,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,86,89,7,7,6,0,7,7,5,6,7,2,9,9,4,10,surgery,Хирург,0.4964
Ирина Белова #126,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,86,82,5,6,7,9,7,5,9,5,10,6,4,3,9,8,otolaryngology,Отоларинголог,0.5173
Павел Громов #127,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,93,78,8,6,4,0,9,10,3,5,5,2,10,7,6,9,surgery,Хирург,0.7032
Ирина Белова #128,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,83,86,5,5,3,7,8,8,10,8,8,3,5,4,10,6,otolaryngology,Отоларинголог,0.4732
Софья Романова #129,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,77,86,5,9,7,5,7,10,10,9,8,7,7,9,7,7,cardiology,Кардиолог,0.4265
Дмитрий Орлов #130,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,79,99,5,8,8,3,8,10,7,8,9,8,6,9,7,7,cardiology,Кардиолог,0.3838
Елена Смирнова #131,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,83,88,3,4,8,2,5,8,10,10,8,7,6,7,7,7,neurology,Невролог,0.4555
Георгий Савельев #132,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,88,80,9,6,4,1,7,10,6,8,7,1,8,7,4,10,surgery,Хирург,0.5438
Никита Жуков #133,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,77,86,3,6,8,1,6,5,6,8,9,8,7,6,5,7,neurology,Невролог,0.4354
Алина Назарова #134,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,79,91,6,8,7,2,6,10,8,9,8,7,8,6,5,7,cardiology,Кардиолог,0.3779
Татьяна Максимова #135,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,83,89,6,8,7,3,7,6,7,10,10,7,6,8,6,10,cardiology,Кардиолог,0.3384
Виктор Лебедев #136,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,84,92,4,4,9,1,6,7,8,8,6,7,6,4,8,7,neurology,Невролог,0.4805
Виктор Лебедев #137,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,73,86,4,6,8,3,4,6,8,9,6,7,4,5,4,9,neurology,Невролог,0.5012
Ольга Демина #138,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,88,73,2,1,3,10,9,5,10,5,8,5,3,2,10,6,otolaryngology,Отоларинголог,0.7218
Дмитрий Орлов #139,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,79,98,3,8,6,2,7,7,9,8,9,5,9,10,3,10,cardiology,Кардиолог,0.418
Виктор Лебедев #140,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,81,94,4,4,7,0,4,5,10,10,6,8,4,4,5,9,neurology,Невролог,0.5699
Георгий Савельев #141,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,91,84,7,6,3,3,9,9,4,7,6,1,8,10,6,7,surgery,Хирург,0.5511
Никита Жуков #142,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,81,96,1,7,10,1,7,5,5,10,6,10,3,6,8,10,neurology,Невролог,0.5896
Дмитрий Орлов #143,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,79,97,3,7,5,1,9,8,9,10,7,7,8,7,3,7,cardiology,Кардиолог,0.4082
Алина Назарова #144,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,85,87,3,9,5,1,4,7,9,9,7,10,7,7,5,7,cardiology,Кардиолог,0.4713
Георгий Савельев #145,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,96,77,7,6,2,3,7,8,5,4,6,5,7,9,3,9,surgery,Хирург,0.5517
Анна Котова #146,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,89,82,9,6,3,2,7,7,7,6,6,4,8,8,5,7,surgery,Хирург,0.4915
Ирина Белова #147,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,82,83,4,4,5,10,7,8,6,7,10,5,8,5,9,7,otolaryngology,Отоларинголог,0.4965
